edr_chave,edr,ano,alvo,rendimento_a1,rendimento_a2,capacidade,previsto
GENERAL SALGADO,General Salgado,2003,3322.1,2376.6,3176.8,4545.0,3483.1658287903188
ITAPETININGA,Itapetininga,2003,3669.6,3549.1,3420.6,11560.0,4027.7160761355217
ITAPEVA,Itapeva,2003,5227.1,4467.2,4156.3,9160.0,4705.655739118744
LIMEIRA,Limeira,2003,3372.4,2233.0,2875.9,1707.0,3068.4560354806467
MOGI MIRIM,Mogi Mirim,2003,3271.2,3434.8,3756.7,2810.0,4194.984842975397
ORLANDIA,Orlândia,2003,2957.1,1519.4,1216.3,28596.0,1833.6828816407885
OURINHOS,Ourinhos,2003,3076.8,2534.4,2924.6,18980.0,3711.499359665633
PRESIDENTE PRUDENTE,Presidente Prudente,2003,2920.9,2357.8,2727.0,32296.0,2914.996500348184
PRESIDENTE VENCESLAU,Presidente Venceslau,2003,2137.4,1691.2,2269.1,2134.0,2520.4083197051714
SOROCABA,Sorocaba,2003,3429.8,3525.8,3000.0,3678.0,3832.5637885209585
SAO JOSE DO RIO PRETO,São José do Rio Preto,2003,2893.6,2783.7,2548.1,3282.0,3434.0946417973014
SAO JOAO DA BOA VISTA,São João da Boa Vista,2003,3027.6,2833.6,2737.0,2170.0,3489.254398124608
ANDRADINA,Andradina,2004,2868.1,3384.2,3444.4,4550.0,3861.085236265229
ARARAQUARA,Araraquara,2004,3035.8,2702.3,2547.0,1340.0,3255.6547355926846
ARACATUBA,Araçatuba,2004,3593.6,3174.2,1689.1,16274.4,3776.0266576154427
ASSIS,Assis,2004,2995.8,3984.5,2063.9,142659.0,3465.4830874517324
AVARE,Avaré,2004,3405.3,3708.3,2773.9,14300.0,3869.1724430671134
BARRETOS,Barretos,2004,3105.6,3016.8,900.8,25862.0,2883.0428282845487
BOTUCATU,Botucatu,2004,3019.7,3065.9,2015.6,1604.2,3248.9587672823022
CAMPINAS,Campinas,2004,3021.5,2925.3,2775.3,1536.0,3493.130773781612
FERNANDOPOLIS,Fernandópolis,2004,1802.2,2358.5,1911.7,1390.0,2677.733410194222
FRANCA,Franca,2004,3311.3,2878.9,1975.2,2650.0,2806.305403736695
GENERAL SALGADO,General Salgado,2004,3035.0,3322.1,2376.6,3080.0,3500.766074186494
ITAPETININGA,Itapetininga,2004,4059.9,3669.6,3549.1,6850.0,3457.490620228014
ITAPEVA,Itapeva,2004,4701.0,5227.1,4467.2,6910.0,4539.205316742124
LIMEIRA,Limeira,2004,2517.4,3372.4,2233.0,230.0,3360.6641643850053
MOGI MIRIM,Mogi Mirim,2004,3662.8,3271.2,3434.8,1625.0,4044.3159658317277
ORLANDIA,Orlândia,2004,3513.6,2957.1,1519.4,24450.0,2574.0766477311136
OURINHOS,Ourinhos,2004,3850.4,3076.8,2534.4,18167.0,3817.7318278816574
PRESIDENTE PRUDENTE,Presidente Prudente,2004,2495.2,2920.9,2357.8,50621.0,3577.5624396172625
PRESIDENTE VENCESLAU,Presidente Venceslau,2004,1722.5,2137.4,1691.2,1487.0,2481.8608244129236
SOROCABA,Sorocaba,2004,2946.5,3429.8,3525.8,5940.0,3699.8045882994843
SAO JOSE DO RIO PRETO,São José do Rio Preto,2004,2808.5,2893.6,2783.7,2475.0,3723.093706511813
SAO JOAO DA BOA VISTA,São João da Boa Vista,2004,3220.7,3027.6,2833.6,2420.0,3368.8626060720408
ANDRADINA,Andradina,2005,3918.8,2868.1,3384.2,3063.0,3594.3052934095303
ARARAQUARA,Araraquara,2005,3040.8,3035.8,2702.3,1030.0,2907.3162614556704
ARACATUBA,Araçatuba,2005,3091.2,3593.6,3174.2,18028.0,3258.300719738449
ASSIS,Assis,2005,2213.8,2995.8,3984.5,141586.0,3382.354561317006
AVARE,Avaré,2005,3143.7,3405.3,3708.3,9350.0,3643.7715707918665
