edr_chave,edr,ano,alvo,rendimento_a1,rendimento_a2,capacidade,previsto
SAO JOAO DA BOA VISTA,São João da Boa Vista,2017,1466.6,1630.9,1350.1,44918.3,1681.7779574391063
TUPA,Tupã,2017,1112.1,792.5,714.3,4873.6,785.99570302051
ARARAQUARA,Araraquara,2018,1092.3,884.5,902.5,1900.0,1226.9268134011359
AVARE,Avaré,2018,1333.2,1331.1,1401.6,6423.0,1451.4226265314833
BAURU,Bauru,2018,1202.3,1206.0,892.4,777.7,1237.6720385826243
BOTUCATU,Botucatu,2018,1291.7,1184.2,1226.5,2878.0,1340.5370352710413
BRAGANCA PAULISTA,Bragança Paulista,2018,1529.5,1502.6,1499.9,7650.7,1572.2231908641359
DRACENA,Dracena,2018,907.4,847.9,923.2,2411.0,924.9194412159383
FRANCA,Franca,2018,2362.4,1179.8,2598.9,65509.2,2265.1741597040614
JAU,Jaú,2018,1830.7,1609.8,1837.2,6891.3,2068.1601894614514
LINS,Lins,2018,1520.5,1420.1,1195.7,1553.0,1281.621676905338
MARILIA,Marília,2018,1421.5,1408.4,1474.7,24151.0,1428.0193876648943
MOGI MIRIM,Mogi Mirim,2018,949.4,949.2,933.9,3089.5,866.9714802783228
ORLANDIA,Orlândia,2018,2209.1,2039.4,1901.6,2403.0,2164.7781018949
OURINHOS,Ourinhos,2018,1551.7,1532.7,1492.2,16006.0,1537.6209297665612
RIBEIRAO PRETO,Ribeirão Preto,2018,1693.0,1385.1,1561.4,4499.85,1498.0219354738815
SAO JOAO DA BOA VISTA,São João da Boa Vista,2018,1430.5,1466.6,1630.9,44624.7,1517.7293551583925
TUPA,Tupã,2018,977.4,1112.1,792.5,4853.6,858.6051456325039
ARARAQUARA,Araraquara,2019,921.5,1092.3,884.5,2007.0,1248.625381456917
AVARE,Avaré,2019,1428.8,1333.2,1331.1,6536.0,1325.680258296495
BAURU,Bauru,2019,1111.7,1202.3,1206.0,709.9,1371.6414265743008
BOTUCATU,Botucatu,2019,1289.3,1291.7,1184.2,2574.0,1270.234626731314
BRAGANCA PAULISTA,Bragança Paulista,2019,1565.1,1529.5,1502.6,7650.0,1679.4755704808092
DRACENA,Dracena,2019,1036.8,907.4,847.9,2471.0,808.5072472183575
FRANCA,Franca,2019,1309.3,2362.4,1179.8,66733.1,1282.5241880370318
JAU,Jaú,2019,1487.4,1830.7,1609.8,6793.0,1540.2446968923873
LINS,Lins,2019,1170.7,1520.5,1420.1,1435.4,1436.8632468379637
MARILIA,Marília,2019,984.0,1421.5,1408.4,20896.0,1421.0605343504283
MOGI MIRIM,Mogi Mirim,2019,969.7,949.4,949.2,1989.5,1019.1120125236394
ORLANDIA,Orlândia,2019,2441.7,2209.1,2039.4,2404.96,1824.263775498233
OURINHOS,Ourinhos,2019,1568.0,1551.7,1532.7,14588.0,1493.5589350285181
RIBEIRAO PRETO,Ribeirão Preto,2019,1704.9,1693.0,1385.1,4706.65,1488.6574654128256
SAO JOAO DA BOA VISTA,São João da Boa Vista,2019,1387.0,1430.5,1466.6,47338.0,1370.6042337823455
TUPA,Tupã,2019,849.7,977.4,1112.1,4577.0,1110.3110945995443
ARARAQUARA,Araraquara,2020,1186.5,921.5,1092.3,1977.0,1118.3469103586235
AVARE,Avaré,2020,1428.8,1428.8,1333.2,6438.0,1379.239755659425
BAURU,Bauru,2020,1245.5,1111.7,1202.3,813.6,1250.5744109766079
BOTUCATU,Botucatu,2020,1237.3,1289.3,1291.7,2459.2,1370.271469911605
