edr,edr_chave,oeste,sul,leste,norte,cafe_ha
Bauru,BAURU,-49.27125187068461,-22.597390643711663,-49.22112587783074,-22.547264650857795,157.4
Bauru,BAURU,-49.17099988497687,-22.597390643711663,-49.120873892123,-22.547264650857795,389.3
Bauru,BAURU,-49.72238580636943,-22.64751663656553,-49.672259813515566,-22.597390643711663,287.4
Bauru,BAURU,-49.672259813515566,-22.64751663656553,-49.622133820661695,-22.597390643711663,312.6
Bauru,BAURU,-49.622133820661695,-22.64751663656553,-49.57200782780782,-22.597390643711663,153.3
Bauru,BAURU,-49.47175584210009,-22.64751663656553,-49.421629849246216,-22.597390643711663,166.2
Bauru,BAURU,-49.421629849246216,-22.64751663656553,-49.37150385639235,-22.597390643711663,451.2
Bauru,BAURU,-49.37150385639235,-22.64751663656553,-49.32137786353848,-22.597390643711663,123.8
Bauru,BAURU,-49.32137786353848,-22.64751663656553,-49.27125187068461,-22.597390643711663,77.1
Bauru,BAURU,-49.622133820661695,-22.697642629419402,-49.57200782780782,-22.64751663656553,34.4
Bauru,BAURU,-49.32137786353848,-22.697642629419402,-49.27125187068461,-22.64751663656553,60.7
Bauru,BAURU,-49.120873892123,-22.697642629419402,-49.07074789926913,-22.64751663656553,134.5
Bauru,BAURU,-49.07074789926913,-22.697642629419402,-49.020621906415265,-22.64751663656553,127.6
Bauru,BAURU,-49.32137786353848,-22.74776862227327,-49.27125187068461,-22.697642629419402,168.4
Bauru,BAURU,-49.27125187068461,-22.74776862227327,-49.22112587783074,-22.697642629419402,287.1
Bauru,BAURU,-49.22112587783074,-22.74776862227327,-49.17099988497687,-22.697642629419402,202.8
Bauru,BAURU,-49.120873892123,-22.74776862227327,-49.07074789926913,-22.697642629419402,273.6
Bauru,BAURU,-49.07074789926913,-22.74776862227327,-49.020621906415265,-22.697642629419402,915.9
Bauru,BAURU,-49.37150385639235,-22.79789461512714,-49.32137786353848,-22.74776862227327,454.3
Bauru,BAURU,-49.07074789926913,-22.79789461512714,-49.020621906415265,-22.74776862227327,48.1
Bauru,BAURU,-49.020621906415265,-22.79789461512714,-48.97049591356139,-22.74776862227327,46.2
Bauru,BAURU,-49.020621906415265,-22.84802060798101,-48.97049591356139,-22.79789461512714,88.8
Botucatu,BOTUCATU,-48.350932381730225,-22.632482416817076,-48.30080638887635,-22.582356423963205,155.0
Botucatu,BOTUCATU,-48.30080638887635,-22.632482416817076,-48.25068039602249,-22.582356423963205,230.8
Botucatu,BOTUCATU,-48.401058374584096,-22.682608409670944,-48.350932381730225,-22.632482416817076,137.6
Botucatu,BOTUCATU,-48.350932381730225,-22.682608409670944,-48.30080638887635,-22.632482416817076,682.6
Botucatu,BOTUCATU,-48.30080638887635,-22.682608409670944,-48.25068039602249,-22.632482416817076,56.2
Botucatu,BOTUCATU,-48.45118436743797,-22.732734402524812,-48.401058374584096,-22.682608409670944,420.6
Botucatu,BOTUCATU,-48.401058374584096,-22.732734402524812,-48.350932381730225,-22.682608409670944,974.2
Botucatu,BOTUCATU,-48.150428410314746,-22.732734402524812,-48.10030241746088,-22.682608409670944,526.4
Botucatu,BOTUCATU,-48.70181433170731,-22.782860395378684,-48.65168833885344,-22.732734402524812,199.9
Botucatu,BOTUCATU,-48.65168833885344,-22.782860395378684,-48.601562345999575,-22.732734402524812,364.4
Botucatu,BOTUCATU,-48.50131036029183,-22.782860395378684,-48.45118436743797,-22.732734402524812,505.1
Botucatu,BOTUCATU,-48.401058374584096,-22.782860395378684,-48.350932381730225,-22.732734402524812,235.0
Botucatu,BOTUCATU,-48.350932381730225,-22.782860395378684,-48.30080638887635,-22.732734402524812,120.4
Botucatu,BOTUCATU,-48.150428410314746,-22.782860395378684,-48.10030241746088,-22.732734402524812,148.4
Botucatu,BOTUCATU,-48.10030241746088,-22.782860395378684,-48.05017642460701,-22.732734402524812,53.2
Botucatu,BOTUCATU,-48.75194032456118,-22.832986388232552,-48.70181433170731,-22.782860395378684,143.2
Botucatu,BOTUCATU,-48.70181433170731,-22.832986388232552,-48.65168833885344,-22.782860395378684,81.9
Botucatu,BOTUCATU,-48.75194032456118,-22.883112381086423,-48.70181433170731,-22.832986388232552,175.7
